"ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds","Gender_MF_2","History_Grade","English_Grade","Maths_Grade","Irish_Grade","PH_beha_W1","PH_intell_W1","PH_phys_W1","PH_free_anx_W1","PH_pop_W1","PH_happi_W1","PH_beha_W2","PH_intell_W2","PH_phys_W2","PH_free_anx_W2","PH_pop_W2","PH_happi_W2","TC_reading","TC_writing","TC_comprehension","TC_maths","TC_imagin_creat","TC_oral_comm","TC_prob_solving","Discussed_subjects_PCG","Discussed_workload_PCG","Discussed_teachers_PCG","Discussed_future_PCG","Discussed_friends_PCG","Discussed_exams_PCG","Discussed_subjects_YP","Discussed_workload_YP","Discussed_teachers_YP","Discussed_future_YP","Discussed_friends_YP","Discussed_exams_YP"
1000,1,1,1,NA,1,1,5,NA,1,2,NA,NA,4.5,6,6,4.5,5.5,3.5,7,3.5,7,3.5,6.5,4.5,5,6,5.5,NA,NA,NA,NA,NA,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,3,3,3,4,4,4,6,NA,0,5,2,1,"Male","C","C","D","C",11,15,10,12,11,8,14,16,11,14,12,10,2,1,2,2,1,2,2,4,4,4,3,3,3,4,4,4,4,4,4
3000,1,1,1,NA,1,1,5,NA,2,3,NA,NA,3,4,4,6,4,3,5,4.5,4.5,3.5,5.5,4,4,6,5,NA,NA,NA,NA,NA,3,4,3,4,NA,2,NA,4,NA,NA,NA,2,NA,NA,NA,2,1,2,3,3,2,3,4,4,4,5,NA,0,4,3,2,"Male","B","C","B","C",4,8,7,9,9,7,10,5,8,14,11,10,3,1,3,3,2,2,2,4,4,4,3,2,3,2,1,2,2,1,2
4000,1,1,0,NA,0,0,3,NA,NA,4,NA,NA,6,5.5,6.5,6,5,7,7,7,7,7,6,6.5,5,6.5,5.5,NA,NA,NA,NA,NA,4,3,3,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,2,3,2,4,NA,5,5,5,5,5,5,6,NA,0,4,5,2,"Male","C","B","C","C",10,11,8,11,8,8,13,14,10,13,11,9,2,3,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5
5000,1,1,1,1,1,1,5,6,1,2,3,2,6,5,5.5,5,4.5,7,6.5,7,7,7,6,4,4.5,6,4,5.5,4,5,5.5,4,4,4,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,3,3,4,4,4,5,4,4,4,5,5,0,6,4,2,"Male","C","B","B","D",11,14,8,13,10,10,13,13,10,14,12,9,3,3,3,3,3,3,3,4,4,4,5,4,4,5,5,3,4,4,3
6000,1,1,1,NA,0,1,3,NA,1,4,NA,NA,7,3,7,7,7,5.5,3.5,4.5,2,3,4,5,6,4,2,NA,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,3,4,4,5,5,5,5,5,5,4,NA,0,5,2,1,"Male","B","C","B",NA,8,8,7,5,5,6,11,5,4,8,6,8,2,1,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5
7000,1,1,1,NA,0,1,4,NA,1,2,NA,NA,4,5.5,4.5,5.5,3,3.5,4.5,3,7,3.5,6,3.5,7,6.5,5.5,NA,NA,NA,NA,NA,3,3,3,NA,2,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,2,4,NA,4,2,4,3,5,5,5,NA,NA,NA,NA,2,"Male",NA,"C","C","C",11,6,7,9,7,5,14,13,10,14,9,10,3,2,3,2,3,3,2,5,5,3,4,2,4,4,3,2,3,3,4
12000,1,1,1,NA,1,1,5,NA,2,2,NA,NA,6,3,4,5.5,4.5,6.5,5,3,3.5,3.5,6.5,2.5,6,5,6.5,NA,NA,NA,NA,NA,2,5,4,4,2,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,1,3,3,3,5,5,5,5,5,5,NA,0,6,3,2,"Male","B","D","A","B",10,13,6,13,9,9,14,12,7,13,8,8,2,2,2,2,3,2,2,5,5,5,5,5,3,3,2,2,3,4,2
13000,1,1,1,NA,1,1,3,2,1,1,1,1,5,6.5,7,7,4.5,3.5,1,3.5,7,1.5,6.5,5,6.5,7,4.5,4.5,4.5,5.5,5.5,4.5,4,3,3,NA,4,NA,NA,4,NA,NA,3,2,NA,4,NA,1,1,3,NA,4,4,4,3,5,5,5,5,0,5,3,1,"Male",NA,"B","C","C",11,6,2,7,4,4,14,10,6,9,10,9,3,2,3,3,3,2,3,5,5,3,4,4,4,5,5,5,3,5,4
14000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,4,5.5,5.5,7,4.5,3.5,5,2,4.5,1,3.5,7,4.5,4.5,5,NA,NA,NA,NA,NA,3,1,3,2,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,3,2,3,4,4,4,4,4,5,NA,0,6,5,2,"Male","D","C","E or lower","C",6,13,10,13,11,8,11,14,10,14,12,9,3,2,2,2,2,3,2,4,4,4,4,4,3,4,3,2,3,3,3
15000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4.5,3.5,5.5,4,6,1.5,3.5,3,1.5,2,6.5,3,4,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"Male",NA,NA,NA,NA,13,15,10,13,10,10,13,11,10,9,9,10,3,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4
